id,library,method,return_type
1,pandas,read_csv,DataFrame
2,pandas,read_excel,DataFrame
3,pandas,read_sql_query,DataFrame
4,pandas,from_dict,DataFrame
5,pandas,from_records,DataFrame
6,pandas,concat,DataFrame
7,pandas,merge,DataFrame
8,pandas,pivot_table,DataFrame
9,pandas,crosstab,DataFrame
10,pandas,melt,DataFrame
11,pandas,get_dummies,DataFrame
12,pandas,pivot,DataFrame
13,pandas,set_index,DataFrame
14,pandas,fillna,DataFrame
15,pandas,dropna,DataFrame
16,pandas,replace,DataFrame
17,pandas,stack,DataFrame
18,pandas,unstack,DataFrame
19,pandas,transpose,DataFrame
20,pandas,T,DataFrame
21,pandas,query,DataFrame
22,pandas,loc,DataFrame
23,pandas,iloc,DataFrame
24,pandas,drop,DataFrame
25,pandas,drop_duplicate,DataFrame
26,pandas,reset_index,DataFrame
27,pandas,melt,DataFrame
28,pandas,merge,DataFrame
29,pandas,join,DataFrame
30,pandas,append,DataFrame
31,pandas,pivot_table,DataFrame
32,pandas,groupby,DataFrame
33,pandas,crosstab,DataFrame
34,pandas,melt,DataFrame
35,pandas,get_dummies,DataFrame
36,pandas,pivot,DataFrame
37,pandas,set_index,DataFrame
38,pandas,reset_index,DataFrame
39,pandas,sort_values,DataFrame
40,pandas,sort_index,DataFrame
41,pandas,rename,DataFrame
42,pandas,drop,DataFrame
43,pandas,fillna,DataFrame
44,pandas,replace,DataFrame
45,pandas,apply,DataFrame
46,pandas,loc,DataFrame
47,pandasx,iloc,DataFrame
48,pandas,xs,DataFrame
49,pandas,assign,DataFrame
50,pandas,where,DataFrame
51,pandas,mask,DataFrame
52,pandas,nlargest,DataFrame
53,pandas,nsmallest,DataFrame
54,pandas,quantile,DataFrame
55,pandas,corr,DataFrame
56,pandas,cov,DataFrame
57,pandas,describe,DataFrame
58,pandas,mean,DataFrame
59,pandas,median,DataFrame
60,pandas,mode,DataFrame
61,pandas,sum,DataFrame
62,pandas,prod,DataFrame
63,pandas,min,DataFrame
64,pandas,max,DataFrame
65,pandas,var,DataFrame
66,pandas,std,DataFrame
67,pandas,cumsum,DataFrame
68,pandas,cumprod,DataFrame
69,pandas,cummin,DataFrame
70,pandas,cummax,DataFrame
71,pandas,select_dtypes,DataFrame
72,pandas,set_flags,None
73,pandas,convert_dtypes,DataFrame
74,pandas,infer_objects,DataFrame
75,pandas,copy,DataFrame
76,pandas,head,DataFrame
77,pandas,isin,DataFrame
78,pandas,__add__,DataFrame
79,pandas,add,DataFrame
80,pandas, sub,DataFrame
81,pandas,mul,DataFrame
82,pandas,div,DataFrame
83,pandas,truediv,DataFrame
84,pandas,floordiv,DataFrame
85,pandas,mod,DataFrame
86,pandas,pow,DataFrame
87,pandas,dot,DataFrame
88,pandas,radd,DataFrame
89,pandas,rsub,DataFrame
90,pandas,rmul,DataFrame
91,pandas,rmul,DataFrame
92,pandas,rdiv,DataFrame
93,pandas,rtruediv,DataFrame
94,pandas,rfloordiv,DataFrame
95,pandas,rmod,DataFrame
96,pandas,rpow,DataFrame
97,pandas,combine,DataFrame
98,pandas,combine_first,DataFrame
99,pandas,applymap,DataFrame
100,pandas,transform,DataFrame
101,pandas,diff,DataFrame
102,pandas,pct_change,DataFrame
103,pandas,round,DataFrame
104,pandas,add_prefix,DataFrame
105,pandas,add_suffix,DataFrame
106,pandas,between_time,DataFrame
107,pandas,DataFrame,DataFrame
